,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,38.48705278775504,-111.34370249999992,490,True,care,3
1,1,1,38.2741756865897,-111.23737637619233,11946,True,care,1
2,2,2,38.378308436363625,-111.26212945454535,55,True,care,7
3,3,3,38.45002075000001,-111.19134980932206,236,True,care,4
4,4,4,38.403095495495485,-111.20748588288292,111,True,care,6
5,5,5,38.104539682926834,-111.14036982926827,41,True,care,8
6,6,6,38.06463123357673,-111.1535721751824,137,True,care,5
7,7,7,38.18193822727273,-111.12533186363635,22,True,care,10
8,8,8,37.8721964283186,-111.0416042849559,565,True,care,2
9,9,9,37.71787492,-110.93534952,25,True,care,9
