,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,58.665389714285695,-137.4761209206349,63,True,glba,15
1,1,1,58.85307982446813,-137.10464565425536,188,True,glba,6
2,2,2,59.03607040014467,-137.0342667018813,2764,True,glba,1
3,3,3,58.912234838926196,-137.0120109798657,447,True,glba,3
4,4,4,58.90502732727273,-136.97449741818187,55,True,glba,16
5,5,5,58.90422397096191,-136.93492291651546,551,True,glba,2
6,6,6,58.842813298507494,-136.8793704179104,67,True,glba,14
7,7,7,58.91602868686874,-136.87273955555588,99,True,glba,10
8,8,8,58.80630099999997,-136.8338929999997,86,True,glba,12
9,9,9,58.829644418772546,-136.4710663465703,277,True,glba,5
10,10,10,58.75908668595053,-136.34634847107435,121,True,glba,9
11,11,11,58.74967999999993,-136.19476399999988,91,True,glba,11
12,12,12,58.52462424358977,-136.06101037179488,78,True,glba,13
13,13,13,58.64105553012052,-136.04144103614456,166,True,glba,7
14,14,14,58.47410616546766,-136.03922941726617,139,True,glba,8
15,15,15,58.45386804513888,-135.88440016666655,288,True,glba,4
