,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,32.813174999999944,-106.34173300000047,342,True,whsa,6
1,1,1,32.72950682089556,-106.34091211940294,67,True,whsa,15
2,2,2,32.77918536263734,-106.33500647252751,91,True,whsa,11
3,3,3,32.78034699999995,-106.3346090000002,68,True,whsa,14
4,4,4,32.78724156976745,-106.32559703488364,86,True,whsa,13
5,5,5,32.821568516340044,-106.27395694607814,612,True,whsa,1
6,6,6,32.821070575757574,-106.26621653787882,132,True,whsa,10
7,7,7,32.81041195738633,-106.26388078409128,352,True,whsa,5
8,8,8,32.81473412252964,-106.26162409881404,253,True,whsa,8
9,9,9,32.80589211764707,-106.26097895588252,136,True,whsa,9
10,10,10,32.797889788590545,-106.24839293288603,298,True,whsa,7
11,11,11,32.79479834986232,-106.23887380991751,363,True,whsa,4
12,12,12,32.791709602739765,-106.21312431735146,438,True,whsa,3
13,13,13,32.741262,-106.20842799999993,88,True,whsa,12
14,14,14,32.77953818762099,-106.17247219729241,517,True,whsa,2
